subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,car,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
dino_v8,1,2,NaN,cat,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
dino_v8,1,3,NaN,airplane,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
dino_v8,1,4,NaN,bottle,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
dino_v8,1,5,NaN,keyboard,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
dino_v8,1,6,NaN,cat,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
dino_v8,1,7,NaN,keyboard,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
dino_v8,1,8,NaN,chair,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
dino_v8,1,9,NaN,elephant,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
dino_v8,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
dino_v8,1,11,NaN,boat,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
dino_v8,1,12,NaN,airplane,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
dino_v8,1,13,NaN,airplane,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
dino_v8,1,14,NaN,bicycle,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
dino_v8,1,15,NaN,oven,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
dino_v8,1,16,NaN,elephant,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
dino_v8,1,17,NaN,elephant,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
dino_v8,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
dino_v8,1,19,NaN,boat,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
dino_v8,1,20,NaN,keyboard,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
dino_v8,1,21,NaN,airplane,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
dino_v8,1,22,NaN,cat,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
dino_v8,1,23,NaN,bear,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
dino_v8,1,24,NaN,car,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
dino_v8,1,25,NaN,elephant,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
dino_v8,1,26,NaN,bear,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
dino_v8,1,27,NaN,knife,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
dino_v8,1,28,NaN,knife,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
dino_v8,1,29,NaN,bottle,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
dino_v8,1,30,NaN,knife,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png
dino_v8,1,31,NaN,bear,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png
dino_v8,1,32,NaN,bottle,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png
dino_v8,1,33,NaN,bear,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png
dino_v8,1,34,NaN,clock,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png
